Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Return on invested capital,EVEBITDA,Sales,Sales growth 5Years,Profit after tax,Profit growth 5Years,Operating profit,NPM last year,Reserves,Debt,Capital work in progress,Inventory,Trade receivables,Total Assets,Cash from operations last year,Free cash flow last year,Free cash flow 3years,Free cash flow 5years,Promoter holding,Pledged percentage,Dividend yield,Change in DII holding 3Years,Change in FII holding 3Years,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,737.85,5938.44,31.64,0.01,20.74,23.42,21.67,696.49,17.45,187.96,20.71,260.79,26.99,980.66,5.38,148.02,118.35,134.36,1112.31,164.68,2.30,-74.35,-56.28,68.30,0.00,0.11,-3.47,0.06,100.96,27.66,,,,692.92,633.79
TD Power Systems,533553,TDPOWERSYS,Electric Equipment,481.85,7525.70,43.09,0.01,22.30,21.06,28.85,1278.76,19.95,174.58,55.62,230.76,13.65,829.07,12.22,16.59,376.58,437.34,1363.80,39.52,-16.31,96.24,74.58,33.22,0.00,0.23,12.94,17.07,45.60,76.19,94.60,46.72,22.46,428.96,395.56
Thangamayil Jew.,533158,THANGAMAYL,Diamond Cutting / Jewellery,1910.00,5936.65,50.01,0.72,14.88,8.01,28.89,4916.30,23.78,118.71,21.06,224.68,2.41,1071.27,797.25,11.27,1978.57,8.61,2559.22,-423.97,-482.00,-209.72,-255.47,61.49,0.00,0.52,3.29,3.22,57.37,57.41,75.33,34.03,35.49,1944.19,1854.34
Tips Music,532375,TIPSMUSIC,Entertainment / Electronic Media Software,665.85,8511.68,51.13,0.02,85.63,83.69,37.55,310.69,27.84,166.56,71.46,206.69,53.61,196.76,3.45,0.73,0.00,27.48,339.40,120.23,118.69,429.34,500.74,64.15,0.00,1.05,3.49,7.22,59.57,63.31,134.10,81.09,68.74,650.67,657.16
Titan Company,500114,TITAN,Diamond Cutting / Jewellery,3566.80,316655.54,94.87,1.12,31.76,17.74,53.07,60456.00,23.49,3337.00,17.45,5694.00,5.52,11535.00,12967.00,93.00,28184.00,1068.00,40647.00,-541.00,-1011.00,963.00,4023.00,52.90,0.00,0.31,1.80,-0.58,5.28,18.64,32.17,21.59,25.26,3386.42,3352.19
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,2799.70,133010.11,60.25,1.73,28.88,14.97,21.57,44089.01,18.52,2207.46,27.75,6574.60,5.33,8455.87,14676.03,663.78,2416.58,1716.75,47936.91,3502.92,1043.86,-7042.99,-9347.77,50.27,0.00,0.36,-8.78,9.51,24.34,56.98,52.82,24.43,27.95,2645.28,2481.72
V2 Retail,532867,V2RETAIL,Textiles - Products,1907.95,6599.45,91.62,2.45,23.20,10.82,28.10,1884.50,21.86,72.03,84.03,257.82,3.82,311.71,849.95,4.15,558.24,0.10,1628.36,93.42,55.92,185.32,204.15,54.24,0.00,0.00,5.16,-5.13,269.08,151.08,106.15,23.95,50.65,1767.65,1471.95
Varun Beverages,540180,VBL,Food - Processing - Indian,486.55,164544.67,59.12,0.17,22.49,16.65,32.18,21257.27,22.92,2783.85,41.44,4984.38,13.44,15933.53,2826.25,1166.71,2791.23,845.84,23124.29,3381.10,-359.27,-1122.28,-229.93,60.23,0.04,0.21,1.98,1.95,-17.43,49.51,53.95,40.70,,514.46,547.85
Vishal Mega Mart,544307,VMM,Trading,126.30,58408.26,92.42,0.27,10.51,9.51,37.56,10716.35,15.15,631.97,72.89,1530.18,5.90,1803.87,1729.38,13.62,1850.31,66.44,9993.05,1399.07,1138.10,2138.31,3587.81,74.55,0.00,0.00,,,,,,,,115.54,111.09
Windlas Biotech,543329,WINDLAS,Pharmaceuticals - Indian - Formulations,930.00,1943.71,31.87,0.06,12.76,12.10,17.48,759.88,18.24,60.99,30.33,94.10,8.03,495.29,32.60,3.20,81.38,166.86,760.45,68.19,16.20,78.51,78.58,62.34,0.00,0.60,1.06,-1.88,51.40,60.82,,,,965.23,905.54
